Бренд,Модель,Год,Объём двигателя,Тип топлива,Трансмиссия,Пробег,Количество дверей,Количество владельцев,Стоимость
Kia,Rio,2020,4.2,Diesel,Manual,289944,3,5,8501
Chevrolet,Malibu,2012,2.0,Hybrid,Automatic,5356,2,3,12092
Mercedes,GLA,2020,4.2,Diesel,Automatic,231440,4,2,11171
Audi,Q5,2023,2.0,Electric,Manual,160971,2,1,11780
Volkswagen,Golf,2003,2.6,Hybrid,Semi-Automatic,286618,3,3,2867
Toyota,Camry,2007,2.7,Petrol,Automatic,157889,4,4,7242
Honda,Civic,2010,3.4,Electric,Automatic,139584,3,1,11208
Kia,Sportage,2001,4.7,Electric,Semi-Automatic,157495,2,2,7950
Kia,Sportage,2014,2.6,Hybrid,Manual,98700,3,4,9926
Toyota,RAV4,2005,3.1,Petrol,Manual,107724,2,5,6545
BMW,5 Series,2013,1.3,Hybrid,Automatic,296824,2,3,5863
Volkswagen,Golf,2009,4.5,Hybrid,Manual,42795,4,3,11444
Honda,CR-V,2007,4.8,Hybrid,Automatic,132875,3,4,10842
Hyundai,Elantra,2004,2.3,Hybrid,Semi-Automatic,188996,2,1,4820
Volkswagen,Golf,2003,2.4,Petrol,Automatic,145921,5,2,5981
Volkswagen,Golf,2007,3.2,Diesel,Automatic,60103,2,1,9697
Hyundai,Elantra,2017,2.9,Electric,Automatic,38133,5,2,14837
Volkswagen,Tiguan,2006,4.5,Electric,Manual,41161,2,2,11576
Kia,Rio,2000,3.4,Diesel,Semi-Automatic,257427,3,3,2351
Mercedes,GLA,2021,1.5,Petrol,Manual,34640,2,1,11207
Chevrolet,Equinox,2018,1.8,Hybrid,Automatic,21261,2,1,13374
Toyota,RAV4,2000,4.6,Hybrid,Semi-Automatic,41814,2,2,8863
Toyota,RAV4,2003,2.0,Electric,Manual,136662,5,4,6266
Ford,Explorer,2006,2.8,Hybrid,Manual,99921,4,2,7701
Mercedes,GLA,2016,3.9,Petrol,Semi-Automatic,19868,3,4,12402
Kia,Sportage,2011,1.8,Diesel,Automatic,92188,2,4,8856
Audi,A3,2022,3.3,Electric,Manual,79350,5,3,14413
BMW,3 Series,2017,2.3,Electric,Semi-Automatic,142701,5,3,10645
BMW,3 Series,2020,4.7,Electric,Semi-Automatic,210767,3,3,12584
Chevrolet,Equinox,2013,1.9,Hybrid,Automatic,121816,4,4,9963
Hyundai,Tucson,2007,3.9,Electric,Automatic,213643,4,5,9327
Volkswagen,Passat,2008,3.5,Electric,Manual,88381,3,1,10232
Chevrolet,Impala,2017,2.3,Petrol,Automatic,183619,5,1,9327
Mercedes,GLA,2013,3.3,Electric,Semi-Automatic,80184,3,5,11696
Toyota,Corolla,2010,3.2,Diesel,Automatic,132454,4,4,9150
Kia,Optima,2005,4.5,Petrol,Manual,18590,2,5,9728
Audi,Q5,2013,3.5,Hybrid,Semi-Automatic,263411,4,1,7231
Kia,Sportage,2000,1.4,Electric,Manual,167050,5,4,4159
Ford,Fiesta,2017,2.2,Hybrid,Manual,277363,2,4,6852
Audi,A4,2004,1.0,Petrol,Manual,94415,2,1,4411
Ford,Focus,2004,1.2,Electric,Manual,93645,3,3,6627
BMW,5 Series,2007,4.9,Petrol,Manual,120491,2,1,8690
Honda,Civic,2000,3.9,Hybrid,Manual,56020,2,4,7879
Honda,Civic,2000,3.9,Hybrid,Manual,56020,2,4,8666
Toyota,RAV4,2003,3.9,Electric,Automatic,131868,5,3,9762
Audi,Q5,2023,3.6,Electric,Manual,238306,5,2,11833
Audi,Q5,2023,3.6,Electric,Manual,238306,5,2,8929
Ford,Focus,2011,2.3,Diesel,Automatic,255372,5,5,6092
Audi,A4,2009,2.4,Diesel,Manual,263797,2,5,3924
Hyundai,Elantra,2006,2.8,Electric,Manual,110280,3,3,8494
Audi,A3,2009,1.2,Electric,Automatic,111448,5,1,9271
Mercedes,GLA,2013,1.9,Petrol,Manual,205005,2,2,5799
Mercedes,E-Class,2004,4.9,Petrol,Semi-Automatic,175273,3,5,6694
Mercedes,GLA,2022,3.8,Diesel,Manual,191466,3,2,10670
Ford,Focus,2008,1.8,Electric,Semi-Automatic,280713,3,1,4685
Honda,Civic,2015,2.6,Electric,Semi-Automatic,66777,5,1,11864
Kia,Optima,2020,3.2,Electric,Manual,88070,3,5,13538
BMW,3 Series,2011,2.9,Electric,Semi-Automatic,281020,3,5,6679
Chevrolet,Impala,2017,1.8,Diesel,Semi-Automatic,22175,2,2,10556
Volkswagen,Passat,2003,2.0,Electric,Manual,287728,3,3,3245
Hyundai,Sonata,2007,3.6,Electric,Automatic,102907,3,3,11241
Honda,Civic,2005,2.4,Petrol,Automatic,60316,2,5,8293
Toyota,Camry,2008,1.3,Petrol,Automatic,188097,2,2,5538
Ford,Fiesta,2004,4.0,Diesel,Automatic,85348,3,3,9093
Ford,Focus,2015,4.8,Electric,Automatic,100603,4,2,14887
Mercedes,C-Class,2007,2.7,Hybrid,Manual,147310,5,2,6953
Mercedes,GLA,2011,4.0,Diesel,Manual,140263,4,5,8594
Volkswagen,Passat,2005,3.2,Electric,Semi-Automatic,155550,5,4,7689
Volkswagen,Golf,2000,4.0,Hybrid,Manual,237232,4,5,4355
Ford,Fiesta,2002,4.0,Hybrid,Semi-Automatic,272351,3,3,4252
Kia,Optima,2008,4.6,Petrol,Manual,164879,2,4,7802
Hyundai,Tucson,2018,2.8,Petrol,Manual,160349,4,3,9093
Hyundai,Elantra,2007,1.5,Diesel,Manual,30793,5,1,7084
BMW,3 Series,2019,1.9,Electric,Automatic,6745,2,1,15065
Toyota,Camry,2007,4.9,Hybrid,Manual,23217,2,4,11635
Kia,Sportage,2017,2.7,Hybrid,Automatic,242456,2,5,9550
Hyundai,Sonata,2017,1.3,Hybrid,Automatic,152123,5,5,9957
Honda,CR-V,2022,3.4,Diesel,Automatic,248894,5,2,10622
Mercedes,GLA,2007,2.3,Electric,Manual,76458,3,5,8970
BMW,X5,2017,3.9,Hybrid,Semi-Automatic,2020,3,2,14059
Hyundai,Sonata,2018,2.0,Hybrid,Automatic,121567,4,4,11568
Volkswagen,Golf,2023,3.5,Petrol,Semi-Automatic,139477,2,5,11710
Ford,Fiesta,2007,4.5,Electric,Manual,53088,3,2,11638
Volkswagen,Tiguan,2020,1.7,Petrol,Automatic,195565,2,5,9388
Audi,A4,2004,4.8,Hybrid,Semi-Automatic,141850,3,2,8263
Honda,Civic,2020,4.6,Petrol,Manual,191397,3,4,10872
Hyundai,Tucson,2015,1.6,Electric,Manual,259533,2,4,7009
Mercedes,C-Class,2015,4.1,Petrol,Automatic,197249,3,1,10255
Volkswagen,Passat,2007,3.8,Electric,Manual,272609,4,5,6547
Ford,Focus,2013,1.1,Diesel,Manual,294516,4,1,3209
Kia,Sportage,2001,2.9,Diesel,Manual,258813,4,5,2123
Toyota,Corolla,2014,4.1,Petrol,Automatic,17100,5,5,13558
Kia,Optima,2017,4.6,Diesel,Manual,197307,3,1,9853
BMW,X5,2007,4.2,Petrol,Automatic,129851,3,4,9302
Mercedes,E-Class,2011,1.8,Diesel,Semi-Automatic,261247,3,4,3975
Audi,Q5,2016,2.5,Electric,Semi-Automatic,121855,5,5,10962
BMW,3 Series,2011,2.6,Petrol,Manual,107928,4,2,7841
Volkswagen,Passat,2011,4.7,Petrol,Automatic,203960,5,3,9520
BMW,5 Series,2009,3.0,Electric,Manual,17260,5,5,11454
Audi,A3,2022,3.8,Electric,Semi-Automatic,275109,2,5,10997
Toyota,Corolla,2016,2.8,Hybrid,Semi-Automatic,203314,3,3,8633
Toyota,Corolla,2014,2.8,Hybrid,Automatic,190214,5,2,9795
